ListingCreationDate,Term,LoanStatus,ClosedDate,BorrowerAPR,BorrowerRate,LenderYield,ProsperRating (Alpha),ProsperScore,ListingCategory (numeric),BorrowerState,Occupation,EmploymentStatus,AmountDelinquent,StatedMonthlyIncome,LoanCurrentDaysDelinquent,LoanOriginalAmount,LoanOriginationDate,LoanOriginationQuarter,MonthlyLoanPayment,LP_InterestandFees,Investors
2006-07-11 17:14:14.647000000,36,Completed,22-10-2009 0.00,0.15211,0.145,0.14,,,0,,,,,9583.333333,0,10000,17-07-2006 0.00,Q3 2006,57.64,2688.13,44
2014-01-27 12:02:57.523000000,60,Current,,0.1963,0.1725,0.1625,C,4,1,WA,Other,Self-employed,0,12750,0,15000,29-01-2014 0.00,Q1 2014,374.81,212.67,3
2012-05-30 11:08:43.140000000,60,Current,,0.23318,0.2085,0.1985,B,8,7,MI,Other,Employed,0,9000,0,13000,06-06-2012 0.00,Q2 2012,350.6,4070.74,181
2007-02-04 17:24:27.850000000,36,Chargedoff,08-08-2008 0.00,0.303,0.29,0.285,,,0,,Other,Not available,,416.666667,2161,1500,09-02-2007 0.00,Q1 2007,62.86,414.1,15
2013-10-08 13:48:43.950000000,36,Current,,0.2129,0.176,0.166,C,6,1,KS,Clergy,Employed,0,4333.333333,0,5000,10-10-2013 0.00,Q4 2013,179.76,287.01,5
2013-06-20 09:48:03.017000000,36,Current,,0.21025,0.1734,0.1634,C,5,1,WA,Professional,Employed,0,8916.666667,0,16000,27-06-2013 0.00,Q2 2013,573.15,1736.8589,1
2013-04-01 05:20:57.110000000,60,Current,,0.13227,0.1099,0.0999,A,7,1,NV,Executive,Employed,2629,16000,0,25000,10-04-2013 0.00,Q2 2013,543.44,2169.64,515
2008-08-05 19:42:49.197000000,36,Completed,29-01-2010 0.00,0.1717,0.15,0.14,,,1,IL,Accountant/CPA,Full-time,0,3166.666667,0,4000,15-08-2008 0.00,Q3 2008,138.66,667.64,103
2013-05-01 08:18:59.183000000,36,Current,,0.15833,0.1299,0.1199,A,8,1,CO,Professional,Employed,0,5416.666667,0,15000,13-05-2013 0.00,Q2 2013,505.34,1298.06,1
2013-08-20 19:25:08.830000000,60,Current,,0.17522,0.1519,0.1419,B,6,1,NJ,Attorney,Employed,0,14583.33333,0,15000,28-08-2013 0.00,Q3 2013,358.35,1116.0475,1
2013-08-05 17:38:57.243000000,60,Current,,0.11695,0.0949,0.0849,A,10,1,NV,Professional,Employed,0,7458.333333,0,25000,21-08-2013 0.00,Q3 2013,524.92,1156.5,481
2013-12-12 08:52:08.730000000,60,Current,,0.23984,0.215,0.205,D,5,1,TX,Nurse (RN),Employed,579,7916.666667,0,10000,19-12-2013 0.00,Q4 2013,273.35,357.6596,1
2011-10-30 17:25:09.443000000,36,Current,,0.202,0.1799,0.1699,B,8,1,AR,Nurse (RN),Employed,0,4853.333333,0,2500,07-11-2011 0.00,Q4 2011,90.37,696.6,51
2013-03-20 14:08:52.343000000,36,Current,,0.14348,0.1153,0.1053,A,6,1,MI,Other,Employed,0,8166.666667,0,7000,27-03-2013 0.00,Q1 2013,230.93,655.6,87
2013-02-01 12:40:21.387000000,36,Current,,0.31032,0.2712,0.2612,E,4,1,SC,Accountant/CPA,Employed,67,4056,0,3000,05-02-2013 0.00,Q1 2013,122.67,723.5,65
2012-08-26 09:43:38.643000000,60,Current,,0.20931,0.1852,0.1752,B,5,2,WI,Executive,Employed,0,10000,0,18000,31-08-2012 0.00,Q3 2012,462.19,4519.21,4
2013-10-21 11:24:44.110000000,36,Current,,0.17601,0.1399,0.1299,B,7,1,GA,Retail Management,Employed,0,3416.666667,0,10000,01-11-2013 0.00,Q4 2013,341.73,440.7471,1
2013-09-16 04:38:51.517000000,36,Current,,0.22415,0.187,0.177,C,4,1,IL,Retail Management,Employed,0,4734.333333,0,15000,19-09-2013 0.00,Q3 2013,547.57,1158.22,77
2011-11-22 14:13:53.397000000,36,Chargedoff,22-05-2013 0.00,0.29394,0.2552,0.2452,D,5,1,NY,Construction,Employed,0,9166.666667,414,2000,20-01-2012 0.00,Q1 2012,80.07,459.66,2
2013-07-22 08:03:33.437000000,60,Current,,0.17522,0.1519,0.1419,B,6,1,IL,Clergy,Employed,0,4666.666667,0,8000,24-07-2013 0.00,Q3 2013,191.12,691.44,82
2007-09-18 13:19:02.487000000,36,Completed,26-09-2010 0.00,0.16717,0.16,0.15,,,0,IL,Other,Full-time,0,2750,0,7000,26-09-2007 0.00,Q3 2007,244.47,1861.43,193
2013-11-02 17:09:05.430000000,60,Current,,0.19323,0.1695,0.1595,C,7,1,IL,Teacher,Employed,0,7500,0,25000,07-11-2013 0.00,Q4 2013,620.64,1044.8304,1
2013-12-05 11:15:32.567000000,36,Current,,0.16324,0.1274,0.1174,B,8,19,DE,Analyst,Employed,72705,7108.333333,0,2000,09-12-2013 0.00,Q4 2013,67.14,42.0919,1
2007-04-06 23:07:37.940000000,36,Chargedoff,24-11-2009 0.00,0.23748,0.23,0.21,,,0,CA,Other,Full-time,0,3891.666667,1688,23500,26-04-2007 0.00,Q2 2007,909.68,8756.72,384
2006-10-07 00:32:48.020000000,36,Completed,13-04-2007 0.00,0.29776,0.29,0.285,,,0,MO,Analyst,Not available,,7500,0,6000,13-10-2006 0.00,Q4 2006,251.43,828.36,41
2013-09-26 11:16:17.373000000,36,Current,,0.30899,0.2699,0.2599,E,4,1,NJ,Sales - Commission,Employed,0,3166.666667,0,5000,09-10-2013 0.00,Q4 2013,204.1,438.4627,1
2014-03-05 13:32:18.183000000,36,Current,,0.19744,0.1605,0.1505,C,4,1,CA,Other,Other,52379,4666.666667,0,15000,07-03-2014 0.00,Q1 2014,527.73,0,1
2007-04-12 17:00:57.690000000,36,Completed,17-04-2010 0.00,0.16802,0.15,0.12,,,0,NE,Other,Not employed,111,860,0,1000,17-04-2007 0.00,Q2 2007,0,481.87,1
2011-03-25 17:20:01.857000000,12,Completed,26-03-2012 0.00,0.35843,0.2669,0.2569,E,3,1,CA,Professional,Employed,0,4777,0,3000,27-06-2011 0.00,Q2 2011,287.6,394.57,32
2007-03-15 21:00:17.840000000,36,Completed,17-03-2010 0.00,0.21554,0.197,0.167,,,0,,Nurse's Aide,Full-time,169,2750,0,1000,27-03-2007 0.00,Q1 2007,37.01,294.98,23
2014-01-25 12:07:54.537000000,60,Current,,0.13636,0.1139,0.1039,A,11,1,IL,Investor,Self-employed,0,2700,0,9000,29-01-2014 0.00,Q1 2014,197.44,78.6415,1
2013-06-21 17:53:40.493000000,36,Current,,0.24246,0.2049,0.1949,C,6,1,MD,Retail Management,Employed,0,4500,0,10000,03-07-2013 0.00,Q3 2013,374.14,1259.9663,1
2012-10-23 13:43:45.530000000,36,Current,,0.35797,0.3177,0.3077,HR,4,13,CA,Other,Employed,0,2916.666667,0,2774,15-11-2012 0.00,Q4 2012,120.47,966.29,49
2011-04-24 12:00:31.987000000,36,Completed,12-03-2013 0.00,0.2951,0.2599,0.2499,D,6,7,FL,Other,Employed,73,8333.333333,0,4500,27-05-2011 0.00,Q2 2011,181.28,1639.2,49
2013-07-17 14:06:43.230000000,36,Current,,0.26528,0.2272,0.2172,D,3,1,MD,Other,Employed,155578,6000,0,4000,19-07-2013 0.00,Q3 2013,154.26,504.54,40
2011-03-04 14:21:40.320000000,36,Chargedoff,15-09-2013 0.00,0.35643,0.3199,0.3099,E,5,7,FL,Fireman,Employed,5256,5314.25,298,2500,16-03-2011 0.00,Q1 2011,108.87,1253.64,50
2013-06-18 15:19:26.643000000,36,Chargedoff,01-01-2014 0.00,0.32538,0.2859,0.2759,E,2,19,KS,Skilled Labor,Employed,0,4750,190,4000,01-07-2013 0.00,Q3 2013,166.73,97.13,42
2006-07-11 20:48:47.660000000,36,Completed,10-08-2007 0.00,0.25861,0.25,0.245,,,0,MO,Executive,Not available,,8583.333333,0,2200,21-07-2006 0.00,Q3 2006,87.47,511.61,38
2011-02-17 05:52:07.960000000,36,Completed,03-02-2012 0.00,0.13109,0.1099,0.0999,B,8,6,VA,Analyst,Full-time,0,6466.666667,0,5600,24-02-2011 0.00,Q1 2011,183.31,506.15,114
2008-06-29 23:23:40.157000000,36,Chargedoff,09-04-2009 0.00,0.18454,0.17,0.16,,,3,CA,Realtor,Full-time,0,0,1918,4800,08-07-2008 0.00,Q3 2008,171.13,266.14,115
2013-04-16 17:23:44.230000000,36,Current,,0.24246,0.2049,0.1949,C,5,1,NY,Skilled Labor,Employed,0,7500,0,22500,18-04-2013 0.00,Q2 2013,841.81,3494.42,1
2014-01-17 18:46:27.597000000,36,Current,,0.27776,0.2394,0.2294,D,4,1,UT,Other,Employed,7342,1061.5,0,4000,22-01-2014 0.00,Q1 2014,156.81,81.33,25
2012-11-15 15:28:17.097000000,60,Current,,0.12216,0.1,0.09,AA,10,1,DC,Professional,Employed,0,10000,0,25000,04-12-2012 0.00,Q4 2012,531.18,2824.99,335
2013-07-18 05:09:06.357000000,36,Past Due (16-30 days),,0.33286,0.2932,0.2832,E,2,7,NY,Other,Employed,0,4166.666667,19,4000,19-07-2013 0.00,Q3 2013,168.32,561.5068,1
2012-06-05 14:27:23.647000000,36,Chargedoff,08-12-2012 0.00,0.33553,0.2958,0.2858,E,6,7,GA,Accountant/CPA,Employed,0,3250,579,4000,08-06-2012 0.00,Q2 2012,168.89,97.25,11
2013-08-30 05:35:28.283000000,60,Current,,0.22283,0.1984,0.1884,C,5,1,MA,Flight Attendant,Employed,0,5083.333333,0,20000,04-09-2013 0.00,Q3 2013,528.1,1918.8488,1
2013-12-31 11:23:00.463000000,60,Current,,0.21166,0.1875,0.1775,C,4,1,MN,Other,Employed,0,2916.666667,0,10000,06-01-2014 0.00,Q1 2014,258.03,154.113,1
2014-02-04 11:03:24.883000000,36,Current,,0.22773,0.1905,0.1805,C,4,1,FL,Nurse (LPN),Employed,0,5416.666667,0,4500,05-02-2014 0.00,Q1 2014,165.07,0,20
2012-05-30 08:40:11.343000000,36,Completed,23-01-2014 0.00,0.33973,0.2999,0.2899,E,3,1,GA,Professional,Employed,0,3333.333333,0,4000,01-06-2012 0.00,Q2 2012,169.78,1581.71,35
2011-11-13 20:05:58.260000000,36,Completed,31-05-2012 0.00,0.35643,0.3199,0.3099,HR,3,7,CO,Construction,Employed,0,6250,0,4000,18-11-2011 0.00,Q4 2011,174.2,650.78,48
2012-06-01 03:39:02.660000000,36,Current,,0.21372,0.1768,0.1668,B,8,6,MD,Construction,Employed,0,7083.333333,0,3500,12-06-2012 0.00,Q2 2012,125.97,805.41,34
2006-11-03 09:21:43.977000000,36,Completed,10-03-2009 0.00,0.19178,0.1845,0.1745,,,0,,Clerical,Not available,,1833.333333,0,5000,14-11-2006 0.00,Q4 2006,181.89,1183.96,146
2010-12-13 09:44:54.653000000,36,Completed,09-12-2011 0.00,0.35858,0.322,0.312,E,5,1,MN,Other,Employed,0,2250,0,3500,20-12-2010 0.00,Q4 2010,152.83,979.23,54
2006-07-02 11:05:02.857000000,36,Completed,01-03-2007 0.00,0.08292,0.0755,0.0705,,,0,,,,,10833.33333,0,2300,11-07-2006 0.00,Q3 2006,71.6,101.65,21
2012-06-08 14:51:19.073000000,60,Chargedoff,12-02-2013 0.00,0.27462,0.2489,0.2389,C,7,18,MN,Laborer,Employed,0,5416.666667,513,7000,13-06-2012 0.00,Q2 2012,205.01,435.31,152
2012-02-29 11:20:32.767000000,36,Current,,0.35797,0.3177,0.3077,HR,3,7,MO,Military Officer,Employed,0,5196.25,0,4000,05-03-2012 0.00,Q1 2012,173.71,1893.58,6
2014-01-26 22:21:42.310000000,36,Current,,0.12691,0.099,0.089,A,8,1,TX,Analyst,Employed,0,14833.33333,0,20000,05-02-2014 0.00,Q1 2014,644.41,151.89,1
2012-08-07 14:29:51.537000000,60,Current,,0.23718,0.2124,0.2024,B,8,1,FL,Clerical,Employed,0,2583.333333,0,15000,15-08-2012 0.00,Q3 2012,407.83,4203.08,213
2012-10-26 11:59:35.153000000,36,Current,,0.23121,0.1939,0.1839,C,6,7,GA,Sales - Retail,Employed,0,1500,0,2000,07-11-2012 0.00,Q4 2012,73.71,409.54,38
2014-01-26 10:13:04.513000000,36,Current,,0.17151,0.1355,0.1255,B,9,1,VA,Computer Programmer,Employed,0,6000,0,4000,28-01-2014 0.00,Q1 2014,135.84,44.5451,1
2013-09-03 08:45:13.893000000,60,Current,,0.10878,0.0869,0.0769,AA,10,2,MO,Other,Other,0,3750,0,10000,19-09-2013 0.00,Q3 2013,206.08,354.38,184
2013-01-25 11:48:26.040000000,36,Chargedoff,30-08-2013 0.00,0.35356,0.3134,0.3034,HR,3,13,CA,Other,Not employed,0,0,314,4000,30-01-2013 0.00,Q1 2013,172.76,200.75,73
23-12-2007 12.09,36,Chargedoff,10-03-2010 0.00,0.20421,0.1895,0.1795,,,1,IL,Food Service Management,Full-time,0,7416.666667,1583,2932,08-01-2008 0.00,Q1 2008,107.4,758.76,91
2009-08-25 13:37:08.130000000,36,Completed,15-09-2012 0.00,0.15529,0.1338,0.1238,A,9,1,MD,Professional,Full-time,0,15000,0,10000,15-09-2009 0.00,Q3 2009,322.34,2197.15,293
2012-04-17 11:58:52.270000000,36,Chargedoff,22-03-2013 0.00,0.26681,0.2287,0.2187,D,2,3,CO,Truck Driver,Self-employed,0,5000,384,15000,19-04-2012 0.00,Q2 2012,579.63,2849.84,21
2013-12-05 16:52:59.507000000,36,Current,,0.19859,0.162,0.152,C,5,1,CT,Other,Employed,0,4916.666667,0,15000,16-12-2013 0.00,Q4 2013,528.84,408.33,1
2011-08-16 20:24:41.713000000,36,Chargedoff,01-04-2012 0.00,0.30532,0.2699,0.2599,D,6,6,WI,Sales - Commission,Employed,0,2666.666667,831,2000,31-08-2011 0.00,Q3 2011,81.64,139.37,27
2011-11-09 05:28:07.977000000,36,Current,,0.19088,0.1619,0.1519,B,6,1,IL,Other,Employed,134,4699,0,10000,18-11-2011 0.00,Q4 2011,352.51,2331.99,188
2012-03-29 12:17:10.017000000,36,Defaulted,23-12-2012 0.00,0.35797,0.3177,0.3077,HR,2,1,OH,Administrative Assistant,Employed,0,2833.333333,167,4000,23-04-2012 0.00,Q2 2012,173.71,311.38,13
2008-04-29 08:26:00.340000000,36,Completed,17-03-2011 0.00,0.2832,0.26,0.25,,,1,GA,Executive,Full-time,0,0,0,14000,09-05-2008 0.00,Q2 2008,564.07,6294.51,53
2009-09-02 03:17:56.993000000,36,Completed,27-07-2011 0.00,0.14476,0.1234,0.1134,C,9,1,IL,Police Officer/Correction Officer,Full-time,0,5833.333333,0,2000,20-01-2010 0.00,Q1 2010,66.75,275.69,164
2010-11-21 16:34:22.307000000,36,Completed,10-10-2012 0.00,0.34631,0.31,0.3,HR,5,7,PA,Nurse (RN),Full-time,71,4666.666667,0,3000,30-11-2010 0.00,Q4 2010,129,1349.72,80
2012-03-17 04:34:26.593000000,36,Current,,0.2837,0.2452,0.2352,D,6,6,IN,Laborer,Employed,0,3000,0,4000,22-03-2012 0.00,Q1 2012,158.03,1428.57,48
2012-04-10 18:57:27.113000000,36,Chargedoff,19-06-2013 0.00,0.35797,0.3177,0.3077,HR,3,1,AL,Social Worker,Employed,0,2583.333333,386,4000,17-04-2012 0.00,Q2 2012,173.71,1006.55,25
2007-02-23 01:40:19.853000000,36,Completed,28-02-2010 0.00,0.30564,0.29,0.28,,,0,,Other,Self-employed,6059,4166.666667,0,3000,28-02-2007 0.00,Q1 2007,0,1731.83,39
2007-08-20 23:17:43.310000000,36,Completed,08-10-2009 0.00,0.16727,0.1601,0.1501,,,0,WA,Computer Programmer,Full-time,0,7083.333333,0,13400,31-08-2007 0.00,Q3 2007,471.17,3190.14,337
2013-12-03 14:47:14.950000000,60,Current,,0.2214,0.197,0.187,C,6,13,TX,Professional,Employed,0,4490.833333,0,2000,06-12-2013 0.00,Q4 2013,52.65,65.5205,1
2013-10-23 18:08:13.347000000,60,Current,,0.19988,0.176,0.166,C,6,1,WA,Executive,Employed,0,7666.666667,0,15000,25-10-2013 0.00,Q4 2013,377.64,875.61,195
2008-03-11 15:31:20.480000000,36,Completed,20-03-2011 0.00,0.10235,0.0885,0.0785,,,1,CA,Professional,Part-time,0,2500,0,2000,20-03-2008 0.00,Q1 2008,12.97,290.06,103
2012-04-09 22:51:46.773000000,36,Current,,0.17359,0.1449,0.1349,B,8,8,CA,Teacher,Employed,0,4583.333333,0,6000,25-04-2012 0.00,Q2 2012,206.5,1191.03,83
2013-12-03 10:37:56.743000000,36,Current,,0.22108,0.184,0.174,C,4,1,MA,Clerical,Employed,0,6083.333333,0,15000,05-12-2013 0.00,Q4 2013,545.3,456.3984,1
2014-01-09 11:52:20.500000000,60,Current,,0.18913,0.1655,0.1555,C,3,1,NC,Laborer,Employed,0,3208.5,0,10000,14-01-2014 0.00,Q1 2014,246.11,136.0258,1
2008-01-20 05:58:31.303000000,36,Completed,07-12-2010 0.00,0.15428,0.14,0.13,,,4,GA,Military Officer,Full-time,0,6250,0,4000,29-01-2008 0.00,Q1 2008,136.71,905.12,67
2006-06-29 13:54:10.787000000,36,Completed,13-03-2007 0.00,0.08718,0.07,0.065,,,0,,Other,Not available,,1666.666667,0,1000,07-07-2006 0.00,Q3 2006,30.88,42.75,11
2008-09-02 13:09:30.613000000,36,Completed,23-04-2009 0.00,0.13223,0.1252,0.1152,,,3,NJ,Sales - Retail,Full-time,0,2293.333333,0,12000,16-09-2008 0.00,Q3 2008,401.56,835.45,233
2013-08-21 14:38:44.203000000,60,Current,,0.20081,0.1769,0.1669,B,6,1,LA,Construction,Employed,0,7916.666667,0,15000,27-08-2013 0.00,Q3 2013,378.38,1309.52,28
2011-05-10 12:53:38.783000000,36,Current,,0.35643,0.3199,0.3099,E,5,7,NC,Other,Not employed,0,0,0,5000,26-05-2011 0.00,Q2 2011,217.74,2822.27,92
2014-02-06 13:42:06.617000000,36,Current,,0.13799,0.1099,0.0999,A,10,1,NY,Sales - Commission,Employed,0,4333.333333,0,14000,11-02-2014 0.00,Q1 2014,458.28,0,1
2008-03-13 12:04:51.623000000,36,Chargedoff,22-02-2009 0.00,0.29743,0.2745,0.2645,,,1,CA,Administrative Assistant,Full-time,30,2946.666667,1966,2551,21-03-2008 0.00,Q1 2008,104.76,355.65,67
2006-11-05 12:48:42.960000000,36,Defaulted,14-11-2007 0.00,0.18824,0.17,0.125,,,0,FL,Other,Not available,,2916.666667,162,1000,16-11-2006 0.00,Q4 2006,35.65,71.29,5
2013-05-08 05:42:28.310000000,36,Current,,0.28032,0.2419,0.2319,D,2,7,TX,Retail Management,Employed,179,3000,0,10000,10-05-2013 0.00,Q2 2013,393.33,1683.02,1
2013-09-10 16:18:04.370000000,60,Completed,27-01-2014 0.00,0.24754,0.2225,0.2125,D,6,2,TX,Food Service Management,Employed,0,4833.333333,0,10000,13-09-2013 0.00,Q3 2013,277.61,809.1941,1
2008-09-11 03:34:20.130000000,36,Completed,23-09-2011 0.00,0.20623,0.1915,0.1815,,,1,SC,Other,Part-time,0,833.333333,0,12500,23-09-2008 0.00,Q3 2008,459.15,4027.38,161
2008-03-07 14:46:59.620000000,36,Completed,01-03-2011 0.00,0.13012,0.124,0.114,,,2,MO,Military Enlisted,Full-time,0,4161.916667,0,8600,20-03-2008 0.00,Q1 2008,287.29,1755.16,175
2012-08-06 16:58:47.380000000,60,Current,,0.15936,0.1364,0.1264,A,8,11,MD,Other,Employed,0,2750,0,5000,08-08-2012 0.00,Q3 2012,115.41,917.05,31
2013-10-21 10:55:40.290000000,36,Current,,0.28544,0.2469,0.2369,D,4,1,IL,Professional,Employed,0,7083.333333,0,6000,28-10-2013 0.00,Q4 2013,237.58,480.8014,1
