date,duration,item,month,network,network_type
29-10-14 6:58,150.206206,data,2014-11,data,data
29-10-14 12:56,125.84714888,call,2014-11,Vodafone,mobile
30-10-14 6:58,69.48025956000001,data,2014-11,data,data
30-10-14 14:31,191.2441808,call,2014-11,Vodafone,mobile
30-10-14 19:48,150.79277079999997,call,2014-11,Vodafone,mobile
30-10-14 20:02,91.30680568,call,2014-11,Meteor,mobile
31-10-14 6:58,119.81244087,data,2014-11,data,data
31-10-14 7:46,176.1295141,sms,2014-11,Vodafone,mobile
31-10-14 8:00,174.7292326,sms,2014-11,Vodafone,mobile
31-10-14 13:26,143.4248965,call,2014-11,Three,mobile
31-10-14 13:27,130.78094049999999,call,2014-11,Tesco,mobile
31-10-14 14:10,32.1164316,call,2014-11,Three,mobile
31-10-14 18:29,95.08436421,sms,2014-11,Three,mobile
31-10-14 18:29,152.9494956,sms,2014-11,Three,mobile
31-10-14 18:30,92.41675007,call,2014-11,Meteor,mobile
31-10-14 18:39,139.4354599,call,2014-11,Tesco,mobile
01-11-14 6:58,162.7362852,data,2014-11,data,data
01-11-14 15:13,204.6207904,call,2014-11,Vodafone,mobile
01-11-14 17:54,108.95653465,call,2014-11,Tesco,mobile
02-11-14 6:58,129.9335568,data,2014-11,data,data
02-11-14 14:34,202.8123665,call,2014-11,Three,mobile
02-11-14 15:44,164.1755793,call,2014-11,Three,mobile
02-11-14 19:16,206.83750609999998,call,2014-11,Three,mobile
02-11-14 21:42,92.1960264,call,2014-11,Meteor,mobile
02-11-14 22:55,185.94041769999998,call,2014-11,Meteor,mobile
03-11-14 6:58,104.64372095,data,2014-11,data,data
03-11-14 10:30,86.28778765,call,2014-11,Three,mobile
03-11-14 10:37,141.34700479999998,call,2014-11,Vodafone,mobile
03-11-14 10:47,227.1046226,call,2014-11,Vodafone,mobile
03-11-14 14:04,176.15120819999999,sms,2014-11,Vodafone,mobile
03-11-14 15:27,131.57388909999997,call,2014-11,Three,mobile
03-11-14 16:07,73.76798006,call,2014-11,landline,landline
03-11-14 16:10,182.2836487,call,2014-11,Tesco,mobile
03-11-14 17:03,217.5710406,call,2014-11,Vodafone,mobile
03-11-14 22:36,114.44595232,call,2014-11,Tesco,mobile
04-11-14 6:58,124.69386274,data,2014-11,data,data
04-11-14 11:58,126.34935566,sms,2014-11,Vodafone,mobile
04-11-14 11:58,202.5524145,sms,2014-11,Vodafone,mobile
04-11-14 13:12,125.86515772,sms,2014-11,Three,mobile
04-11-14 14:05,190.6575811,sms,2014-11,Three,mobile
04-11-14 14:26,184.8489102,call,2014-11,voicemail,voicemail
04-11-14 14:26,201.21375790000002,call,2014-11,voicemail,voicemail
04-11-14 16:13,81.24392489,sms,2014-11,Three,mobile
04-11-14 16:19,147.765441,call,2014-11,Meteor,mobile
04-11-14 16:22,116.32030827,call,2014-11,Meteor,mobile
04-11-14 16:24,121.74955989,call,2014-11,Meteor,mobile
04-11-14 16:34,132.3329299,sms,2014-11,Three,mobile
04-11-14 16:39,106.18748804,sms,2014-11,Meteor,mobile
04-11-14 16:41,181.7513295,sms,2014-11,Meteor,mobile
04-11-14 16:45,175.53349440000002,sms,2014-11,Three,mobile
04-11-14 18:26,91.09435209,call,2014-11,Tesco,mobile
04-11-14 20:15,196.8252999,call,2014-11,Three,mobile
04-11-14 20:15,179.7946514,sms,2014-11,Meteor,mobile
04-11-14 20:15,82.47745583,sms,2014-11,Meteor,mobile
04-11-14 20:16,160.8974211,call,2014-11,Meteor,mobile
05-11-14 6:58,131.6294087,data,2014-11,data,data
05-11-14 10:59,197.3677733,call,2014-11,Three,mobile
05-11-14 11:30,135.9499134,sms,2014-11,Vodafone,mobile
05-11-14 11:43,170.97726219999998,sms,2014-11,Vodafone,mobile
05-11-14 12:43,112.28723255,sms,2014-11,Vodafone,mobile
05-11-14 19:35,154.6936973,call,2014-11,Vodafone,mobile
06-11-14 1:02,155.4415395,sms,2014-11,Vodafone,mobile
06-11-14 1:02,70.12244951,sms,2014-11,Vodafone,mobile
06-11-14 6:58,124.05859431,data,2014-11,data,data
06-11-14 9:04,182.34989769999999,sms,2014-11,Vodafone,mobile
06-11-14 9:05,164.6128284,sms,2014-11,Vodafone,mobile
06-11-14 9:47,161.5473484,call,2014-11,Vodafone,mobile
06-11-14 9:50,99.05134024,call,2014-11,Three,mobile
06-11-14 9:52,88.69287303,call,2014-11,Meteor,mobile
06-11-14 9:54,223.6521985,call,2014-11,Three,mobile
06-11-14 11:47,186.2982161,call,2014-11,Vodafone,mobile
06-11-14 14:52,122.19656206,sms,2014-11,Vodafone,mobile
06-11-14 18:02,81.10287957,call,2014-11,Tesco,mobile
06-11-14 18:07,121.56013709,call,2014-11,Vodafone,mobile
07-11-14 6:58,145.0988158,data,2014-11,data,data
07-11-14 9:33,155.0764015,call,2014-11,Vodafone,mobile
07-11-14 17:51,152.1474505,call,2014-11,Three,mobile
07-11-14 21:04,182.5992557,sms,2014-11,Vodafone,mobile
07-11-14 21:10,175.8913419,sms,2014-11,Vodafone,mobile
07-11-14 21:12,102.47934575,sms,2014-11,Vodafone,mobile
07-11-14 21:12,125.22047201,sms,2014-11,Vodafone,mobile
07-11-14 21:19,197.4026746,sms,2014-11,Vodafone,mobile
07-11-14 21:25,179.41332930000002,sms,2014-11,Vodafone,mobile
07-11-14 21:31,183.6447756,sms,2014-11,Vodafone,mobile
07-11-14 21:31,221.95971509999998,sms,2014-11,Vodafone,mobile
07-11-14 22:04,209.1858684,sms,2014-11,Vodafone,mobile
08-11-14 6:58,169.3119372,data,2014-11,data,data
08-11-14 16:33,130.3384522,call,2014-11,Three,mobile
08-11-14 18:18,144.6511574,call,2014-11,Tesco,mobile
09-11-14 1:41,146.4637765,sms,2014-11,Three,mobile
09-11-14 1:49,81.61237581,sms,2014-11,Three,mobile
09-11-14 1:50,161.3891171,sms,2014-11,Three,mobile
09-11-14 2:04,110.66808964,sms,2014-11,Three,mobile
09-11-14 6:58,133.9331603,data,2014-11,data,data
09-11-14 19:21,127.7431917,call,2014-11,Tesco,mobile
09-11-14 22:09,145.8237216,call,2014-11,Three,mobile
10-11-14 6:58,174.18135180000002,data,2014-11,data,data
10-11-14 9:29,100.70341569,call,2014-11,Vodafone,mobile
10-11-14 11:36,139.4757449,call,2014-11,Three,mobile
10-11-14 14:59,96.57882067,call,2014-11,Three,mobile
10-11-14 15:15,146.92202709999998,call,2014-11,Three,mobile
10-11-14 18:19,125.43339003,sms,2014-11,Three,mobile
10-11-14 18:34,96.32225339,sms,2014-11,Three,mobile
11-11-14 6:58,162.7611465,data,2014-11,data,data
11-11-14 9:28,189.73462030000002,call,2014-11,Vodafone,mobile
11-11-14 11:32,123.88590842,call,2014-11,Vodafone,mobile
11-11-14 11:37,185.5976481,sms,2014-11,Three,mobile
11-11-14 12:39,141.2000062,call,2014-11,Three,mobile
11-11-14 14:13,132.7608331,sms,2014-11,Meteor,mobile
11-11-14 14:20,60.10024375,sms,2014-11,Meteor,mobile
11-11-14 14:41,142.5011446,sms,2014-11,Meteor,mobile
11-11-14 19:56,112.13742489,sms,2014-11,Three,mobile
12-11-14 6:58,82.43480341,data,2014-11,data,data
12-11-14 10:48,178.7741683,sms,2014-11,Vodafone,mobile
12-11-14 10:48,169.9989123,sms,2014-11,Three,mobile
12-11-14 10:48,212.53096580000002,sms,2014-11,Vodafone,mobile
12-11-14 10:49,127.3927042,sms,2014-11,Three,mobile
12-11-14 12:04,83.81985978,sms,2014-11,Three,mobile
12-11-14 13:49,206.787147,sms,2014-11,Vodafone,mobile
12-11-14 16:16,182.81428490000002,sms,2014-11,Vodafone,mobile
12-11-14 16:19,150.0500557,call,2014-11,landline,landline
12-11-14 16:42,135.7924633,sms,2014-11,Vodafone,mobile
12-11-14 16:42,183.4436493,sms,2014-11,Vodafone,mobile
12-11-14 17:14,161.566398,sms,2014-11,Vodafone,mobile
12-11-14 17:14,118.55560793,sms,2014-11,Vodafone,mobile
12-11-14 17:49,195.68102219999997,sms,2014-11,Three,mobile
12-11-14 17:56,63.25364435,call,2014-11,Three,mobile
12-11-14 17:59,129.0311388,call,2014-11,Three,mobile
12-11-14 19:01,206.8441747,call,2014-11,Vodafone,mobile
12-11-14 19:18,149.1904445,sms,2014-11,Three,mobile
12-11-14 19:18,172.8592235,sms,2014-11,Three,mobile
12-11-14 19:20,196.6548737,sms,2014-11,Vodafone,mobile
13-11-14 6:58,136.2384854,data,2014-12,data,data
13-11-14 22:30,122.50275181,sms,2014-11,Three,mobile
13-11-14 22:31,133.9830388,sms,2014-11,Vodafone,mobile
14-11-14 6:58,142.6503062,data,2014-12,data,data
14-11-14 17:24,117.09900658,call,2014-12,voicemail,voicemail
14-11-14 17:28,121.58895547,sms,2014-12,Vodafone,mobile
15-11-14 6:58,138.5132573,data,2014-12,data,data
16-11-14 6:58,43.30311484,data,2014-12,data,data
16-11-14 14:05,250.01575209999996,call,2014-12,Vodafone,mobile
17-11-14 6:58,127.24932,data,2014-12,data,data
18-11-14 6:58,189.1281147,data,2014-12,data,data
18-11-14 8:22,110.27999449,sms,2014-12,Vodafone,mobile
18-11-14 8:29,131.4516215,sms,2014-12,Vodafone,mobile
18-11-14 8:29,105.25506582,sms,2014-12,Vodafone,mobile
18-11-14 8:33,190.1413155,sms,2014-12,Vodafone,mobile
18-11-14 8:34,64.62736322,sms,2014-12,Vodafone,mobile
18-11-14 8:34,99.5967637,sms,2014-12,Vodafone,mobile
18-11-14 8:39,132.0585179,sms,2014-12,Vodafone,mobile
18-11-14 8:42,60.21204542,sms,2014-12,Vodafone,mobile
18-11-14 8:45,216.4432149,sms,2014-12,Vodafone,mobile
18-11-14 9:35,115.81315613,sms,2014-12,Vodafone,mobile
19-11-14 6:58,159.7490636,data,2014-12,data,data
19-11-14 14:05,168.4677129,call,2014-12,Tesco,mobile
19-11-14 14:11,190.83791519999997,call,2014-12,Meteor,mobile
19-11-14 18:56,209.20853490000002,call,2014-12,Three,mobile
19-11-14 22:48,126.17456408,sms,2014-12,Vodafone,mobile
20-11-14 6:58,147.9492472,data,2014-12,data,data
20-11-14 14:57,172.4501564,call,2014-12,voicemail,voicemail
20-11-14 14:59,183.00704059999998,call,2014-12,Three,mobile
20-11-14 16:22,121.10199584,sms,2014-12,Meteor,mobile
20-11-14 19:08,96.01509917,call,2014-12,Three,mobile
20-11-14 21:03,42.38614815,call,2014-12,Three,mobile
20-11-14 21:03,234.571508,call,2014-12,Three,mobile
21-11-14 0:17,216.1966057,call,2014-12,Tesco,mobile
21-11-14 1:13,164.13640230000001,sms,2014-12,Vodafone,mobile
21-11-14 6:58,220.9839524,data,2014-12,data,data
21-11-14 10:29,130.7607655,sms,2014-12,Meteor,mobile
21-11-14 10:29,96.73581243,sms,2014-12,Meteor,mobile
21-11-14 10:30,149.8195584,sms,2014-12,Meteor,mobile
21-11-14 11:29,164.0420489,call,2014-12,landline,landline
21-11-14 11:31,210.5574053,call,2014-12,Vodafone,mobile
21-11-14 11:49,132.4986994,call,2014-12,landline,landline
21-11-14 11:50,157.8262723,call,2014-12,Three,mobile
21-11-14 11:50,103.16906753,call,2014-12,Three,mobile
21-11-14 13:31,268.4439222,call,2014-12,Tesco,mobile
21-11-14 18:07,78.49093635,call,2014-12,Meteor,mobile
22-11-14 2:10,72.7501633,call,2014-12,Tesco,mobile
22-11-14 6:58,201.7960433,data,2014-12,data,data
22-11-14 12:02,116.61663427,call,2014-12,Meteor,mobile
22-11-14 12:10,236.67801409999998,call,2014-12,Vodafone,mobile
22-11-14 14:30,128.99309820000002,call,2014-12,Vodafone,mobile
22-11-14 14:33,129.6619965,call,2014-12,Vodafone,mobile
22-11-14 14:34,161.900363,call,2014-12,Vodafone,mobile
23-11-14 6:58,153.01017009999998,data,2014-12,data,data
23-11-14 13:24,192.08553930000002,call,2014-12,Three,mobile
23-11-14 16:10,98.07936108,call,2014-12,Three,mobile
23-11-14 17:36,146.6080747,call,2014-12,Three,mobile
23-11-14 17:53,192.85611,call,2014-12,Three,mobile
23-11-14 17:53,121.68152233,call,2014-12,Three,mobile
23-11-14 17:54,176.1398398,call,2014-12,Three,mobile
24-11-14 6:58,173.2375414,data,2014-12,data,data
24-11-14 9:40,221.9207479,sms,2014-12,Three,mobile
24-11-14 12:24,115.26182269,call,2014-12,Meteor,mobile
25-11-14 6:58,125.13446935,data,2014-12,data,data
25-11-14 11:25,96.89638972,call,2014-12,Vodafone,mobile
25-11-14 16:09,110.35676793,sms,2014-12,Meteor,mobile
25-11-14 16:19,152.6325106,sms,2014-12,Meteor,mobile
25-11-14 17:10,124.25272388,call,2014-12,Meteor,mobile
25-11-14 18:06,242.14232420000002,sms,2014-12,Meteor,mobile
25-11-14 18:18,215.336676,call,2014-12,Meteor,mobile
25-11-14 18:47,208.04012269999998,call,2014-12,voicemail,voicemail
25-11-14 19:10,146.9861035,call,2014-12,Tesco,mobile
25-11-14 19:20,228.67668799999998,call,2014-12,Tesco,mobile
25-11-14 19:21,255.2021909,call,2014-12,voicemail,voicemail
25-11-14 19:25,73.7890876,call,2014-12,Tesco,mobile
25-11-14 19:26,209.612799,call,2014-12,voicemail,voicemail
25-11-14 20:39,144.6408793,sms,2014-12,Three,mobile
26-11-14 6:58,221.40750359999998,data,2014-12,data,data
26-11-14 7:03,137.6724286,call,2014-12,Meteor,mobile
26-11-14 7:15,175.43342869999998,sms,2014-12,Vodafone,mobile
26-11-14 7:57,247.4123338,sms,2014-12,Vodafone,mobile
26-11-14 7:59,130.8332732,call,2014-12,Three,mobile
26-11-14 8:00,135.1719605,sms,2014-12,Vodafone,mobile
26-11-14 8:13,116.00313733,call,2014-12,Three,mobile
26-11-14 8:16,224.9742065,call,2014-12,Three,mobile
26-11-14 8:26,149.92067500000002,call,2014-12,Three,mobile
26-11-14 8:27,154.4690712,call,2014-12,Three,mobile
26-11-14 9:01,99.54424512,sms,2014-12,Meteor,mobile
26-11-14 11:53,128.5844462,sms,2014-12,Meteor,mobile
26-11-14 11:54,173.89456719999998,sms,2014-12,Meteor,mobile
26-11-14 11:54,91.18976544,sms,2014-12,Meteor,mobile
26-11-14 11:56,80.08423871,sms,2014-12,Meteor,mobile
26-11-14 17:48,169.0515109,call,2014-12,Three,mobile
27-11-14 6:58,164.9616746,data,2014-12,data,data
27-11-14 16:53,101.69016685,call,2014-12,Three,mobile
27-11-14 18:38,168.00343759999998,sms,2014-12,Three,mobile
28-11-14 6:58,268.45809010000005,data,2014-12,data,data
28-11-14 13:05,139.4532159,sms,2014-12,Three,mobile
28-11-14 13:12,100.73088324,sms,2014-12,Three,mobile
28-11-14 19:03,98.57511413,call,2014-12,Tesco,mobile
29-11-14 6:58,141.0832208,data,2014-12,data,data
29-11-14 14:44,144.94246859999998,call,2014-12,Three,mobile
30-11-14 6:58,171.02005690000001,data,2014-12,data,data
30-11-14 11:45,212.0021377,sms,2014-12,Three,mobile
30-11-14 11:48,169.27822780000002,sms,2014-12,Three,mobile
30-11-14 11:48,110.27377842,sms,2014-12,Three,mobile
30-11-14 12:06,81.63890789,sms,2014-12,Three,mobile
30-11-14 14:24,130.52252629999998,sms,2014-12,Three,mobile
30-11-14 14:44,90.8610861,sms,2014-12,Three,mobile
30-11-14 14:51,136.9491411,call,2014-12,Three,mobile
01-12-14 6:58,129.69289700000002,data,2014-12,data,data
01-12-14 12:51,195.6410361,sms,2014-12,Three,mobile
01-12-14 12:59,150.1982788,sms,2014-12,Three,mobile
02-12-14 6:58,106.2025776,data,2014-12,data,data
02-12-14 11:40,114.23363373,call,2014-12,Meteor,mobile
03-12-14 6:58,96.14816647,data,2014-12,data,data
03-12-14 15:01,198.9662679,call,2014-12,landline,landline
03-12-14 18:10,183.7290438,call,2014-12,Tesco,mobile
04-12-14 6:58,119.55699513,data,2014-12,data,data
04-12-14 13:52,85.12363484,call,2014-12,Vodafone,mobile
04-12-14 15:34,128.9843864,call,2014-12,Three,mobile
04-12-14 16:02,151.27181740000003,call,2014-12,Meteor,mobile
04-12-14 23:41,143.4589163,call,2014-12,voicemail,voicemail
05-12-14 6:58,73.32403898,data,2014-12,data,data
05-12-14 16:49,105.74943151,call,2014-12,landline,landline
05-12-14 18:17,126.24191535,call,2014-12,Tesco,mobile
05-12-14 18:25,147.94046930000002,call,2014-12,Three,mobile
06-12-14 6:58,118.90797099,data,2014-12,data,data
06-12-14 11:33,123.96498373,call,2014-12,Meteor,mobile
06-12-14 18:25,97.55531116,sms,2014-12,Vodafone,mobile
06-12-14 18:26,72.88224017,sms,2014-12,Tesco,mobile
06-12-14 18:26,151.341703,sms,2014-12,Vodafone,mobile
06-12-14 19:40,148.18658799999997,call,2014-12,Meteor,mobile
07-12-14 6:58,141.98945170000002,data,2014-12,data,data
07-12-14 13:03,152.3095745,call,2014-12,voicemail,voicemail
07-12-14 13:45,71.70136195,call,2014-12,Three,mobile
07-12-14 14:39,177.63393269999997,call,2014-12,Three,mobile
07-12-14 20:23,129.8380286,call,2014-12,Three,mobile
07-12-14 20:36,153.7039032,call,2014-12,Tesco,mobile
07-12-14 20:37,182.2177384,call,2014-12,Three,mobile
08-12-14 6:58,146.6958884,data,2014-12,data,data
08-12-14 17:38,219.29152040000002,call,2014-12,Meteor,mobile
09-12-14 6:58,160.8485262,data,2014-12,data,data
09-12-14 18:32,152.7679842,call,2014-12,Tesco,mobile
10-12-14 6:58,166.3828209,data,2014-12,data,data
11-12-14 6:58,182.7183976,data,2014-12,data,data
12-12-14 6:58,129.9880041,data,2014-12,data,data
12-12-14 11:00,222.8009735,call,2014-12,Vodafone,mobile
12-12-14 18:14,176.37196919999997,call,2014-12,Vodafone,mobile
13-12-14 6:58,53.974039489999996,data,2015-01,data,data
13-12-14 14:56,122.3751861,call,2014-12,Three,mobile
14-12-14 2:05,130.1279048,call,2014-12,landline,landline
14-12-14 2:07,100.44351458,call,2014-12,landline,landline
14-12-14 2:09,123.66069329999999,call,2014-12,landline,landline
14-12-14 6:58,132.35151029999997,data,2015-01,data,data
14-12-14 15:28,212.8000227,call,2014-12,voicemail,voicemail
14-12-14 19:54,143.6610977,call,2014-12,Three,mobile
15-12-14 6:58,145.4731905,data,2015-01,data,data
15-12-14 19:56,132.0383466,sms,2015-01,Three,mobile
15-12-14 19:58,168.6102491,sms,2015-01,Three,mobile
15-12-14 20:03,131.4683419,call,2015-01,Three,mobile
15-12-14 20:10,168.6713327,sms,2015-01,Vodafone,mobile
15-12-14 20:10,109.95577357,sms,2015-01,Three,mobile
15-12-14 23:12,119.33939584,sms,2015-01,Three,mobile
16-12-14 6:58,99.49573299,data,2015-01,data,data
17-12-14 6:58,124.54904343,data,2015-01,data,data
17-12-14 18:08,63.55951987,call,2015-01,Vodafone,mobile
17-12-14 23:26,174.03059299999998,sms,2015-01,Vodafone,mobile
18-12-14 6:58,163.63894950000002,data,2015-01,data,data
18-12-14 12:36,108.99562635,call,2015-01,Three,mobile
18-12-14 15:46,221.2795163,call,2015-01,Meteor,mobile
18-12-14 15:57,192.9654289,call,2015-01,Meteor,mobile
18-12-14 16:10,76.99492552000001,call,2015-01,Meteor,mobile
18-12-14 17:54,145.7380736,call,2015-01,Three,mobile
18-12-14 19:05,106.5036626,call,2015-01,Tesco,mobile
18-12-14 21:58,198.3979176,call,2015-01,Meteor,mobile
18-12-14 21:59,119.89165893,call,2015-01,Meteor,mobile
19-12-14 6:58,69.36202817,data,2015-01,data,data
19-12-14 8:57,110.23296025,sms,2015-01,Vodafone,mobile
19-12-14 10:14,109.80105622,call,2015-01,Three,mobile
19-12-14 12:40,171.9049165,call,2015-01,Three,mobile
19-12-14 12:41,88.63817113,call,2015-01,Tesco,mobile
19-12-14 12:41,119.01319501,call,2015-01,Three,mobile
19-12-14 14:48,130.74854449999998,call,2015-01,Meteor,mobile
19-12-14 16:49,203.3708956,call,2015-01,Tesco,mobile
19-12-14 16:51,224.5075181,call,2015-01,Tesco,mobile
19-12-14 17:00,133.35914209999999,call,2015-01,Three,mobile
19-12-14 18:44,97.03920038,sms,2015-01,Vodafone,mobile
20-12-14 6:58,227.62686159999998,data,2015-01,data,data
20-12-14 14:39,75.38040234,sms,2015-01,Tesco,mobile
20-12-14 15:20,42.38732535,sms,2015-01,Tesco,mobile
20-12-14 15:53,167.8322459,call,2015-01,Meteor,mobile
20-12-14 16:09,226.4261541,sms,2015-01,Tesco,mobile
21-12-14 0:05,174.07488659999999,call,2015-01,Meteor,mobile
21-12-14 6:58,129.1005908,data,2015-01,data,data
22-12-14 6:58,139.6293063,data,2015-01,data,data
22-12-14 10:42,187.66417180000002,call,2015-01,Tesco,mobile
22-12-14 11:22,180.1346419,sms,2015-01,Vodafone,mobile
22-12-14 11:22,105.41990804,sms,2015-01,Meteor,mobile
22-12-14 13:33,123.08435104,call,2015-01,Vodafone,mobile
22-12-14 14:09,81.17009822,sms,2015-01,Vodafone,mobile
22-12-14 14:15,121.58158199,call,2015-01,Vodafone,mobile
22-12-14 18:03,126.59267077,sms,2015-01,Vodafone,mobile
22-12-14 18:03,197.43250700000002,sms,2015-01,Vodafone,mobile
22-12-14 18:03,96.44742595,sms,2015-01,Vodafone,mobile
22-12-14 19:10,141.99775449999999,sms,2015-01,Vodafone,mobile
22-12-14 19:12,175.59250659999998,call,2015-01,Tesco,mobile
22-12-14 19:35,186.2582184,sms,2015-01,Meteor,mobile
22-12-14 19:36,80.54676629,sms,2015-01,Meteor,mobile
22-12-14 23:12,192.1264418,call,2015-01,Three,mobile
23-12-14 0:57,82.47990071000001,call,2015-01,Tesco,mobile
23-12-14 6:58,94.30954092,data,2015-01,data,data
23-12-14 9:17,264.4229094,call,2015-01,voicemail,voicemail
23-12-14 11:03,153.1795301,call,2015-01,landline,landline
